query,page,device,country,clicks,impressions,ctr,position,date_start,date_end,page_path
scandinavian modern furniture characteristics,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,usa,0,1,0.0,7.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
scandinavian modern interior,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,DESKTOP,usa,0,1,0.0,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design
scandinavian modern interior design,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,DESKTOP,usa,0,1,0.0,11.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design
scandinavian modern interior design,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,MOBILE,usa,0,3,0.0,15.3,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design
scandinavian modern interior designer,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,MOBILE,usa,0,1,0.0,97.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design
scandinavian modern style furniture,https://moderncre8ve.com/collections/scandinavian-design-furniture,MOBILE,usa,0,1,0.0,3.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian nursery design,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,0,1,0.0,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian oak table,https://moderncre8ve.com/products/scandinavian-danish-modern-dining-table,MOBILE,usa,0,3,0.0,3.0,2026-03-01,2026-03-08,/products/scandinavian-danish-modern-dining-table
scandinavian oak table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,MOBILE,usa,0,1,0.0,10.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
scandinavian oak table,https://moderncre8ve.com/products/scandinavian-oval-dining-table-mar-vista,MOBILE,usa,0,3,0.0,3.0,2026-03-01,2026-03-08,/products/scandinavian-oval-dining-table-mar-vista
